Benchmark,Baseline,AIC-Acc (%),ACNLS Score
MMDA,DocOwl2,29.577464788732396,30.448512575005278
MMDA,GPT-5,46.478873239436616,41.964916440589874
MMDA,M3DocRAG,47.417840375586856,41.63834597611552
MMDA,MoDora,73.33333333333333,56.27723347013636
MMDA,QUEST,15.68075117370892,12.84633576955608
MMDA,SV-RAG,37.74647887323944,33.5316288892103
MMDA,TextRAG,36.244131455399064,30.206973606443984
MMDA,UDOP,15.774647887323944,15.624987164884331
MMDA,ZenDB,47.136150234741784,37.31371919601327
MMDA,my-approach,61.666666666666664,38.939204506514976
